2025-12-07 16:57:01 | user=cashier | ip=192.168.0.10 | status=FAIL
2025-12-07 17:24:54 | user=cashier | ip=192.168.0.15 | status=SUCCESS
2025-12-07 17:42:09 | user=manager | ip=192.168.0.15 | status=FAIL
2025-12-07 17:42:09 | user=manager | ip=192.168.0.21 | status=SUCCESS
2025-12-07 17:42:09 | user=manager | ip=192.168.0.30 | status=SUCCESS
2025-12-07 17:42:09 | user=cashier | ip=192.168.0.21 | status=SUCCESS
2025-12-07 17:42:09 | user=admin | ip=192.168.0.15 | status=SUCCESS
2025-12-07 17:42:09 | user=manager | ip=192.168.0.10 | status=SUCCESS
2025-12-07 17:42:09 | user=admin | ip=192.168.0.30 | status=FAIL
2025-12-07 17:42:09 | user=admin | ip=192.168.0.30 | status=FAIL
2025-12-07 17:42:09 | user=manager | ip=192.168.0.30 | status=SUCCESS
2025-12-07 17:42:09 | user=cashier | ip=192.168.0.30 | status=FAIL
2025-12-07 17:42:09 | user=shop_owner | ip=192.168.0.10 | status=SUCCESS
2025-12-07 17:42:09 | user=manager | ip=192.168.0.21 | status=SUCCESS
2025-12-07 17:42:09 | user=manager | ip=192.168.0.15 | status=FAIL
2025-12-07 17:42:09 | user=cashier | ip=192.168.0.15 | status=FAIL
2025-12-07 17:42:09 | user=admin | ip=192.168.0.30 | status=FAIL
2025-12-07 17:42:09 | user=admin | ip=192.168.0.21 | status=FAIL
2025-12-07 17:42:09 | user=shop_owner | ip=192.168.0.15 | status=FAIL
2025-12-07 17:42:09 | user=cashier | ip=192.168.0.10 | status=SUCCESS
2025-12-07 17:42:09 | user=manager | ip=192.168.0.15 | status=FAIL
2025-12-07 17:42:09 | user=cashier | ip=192.168.0.10 | status=SUCCESS
